Word,Reading,Meaning,JLPT,Word Type,Example Sentence JP,Example Sentence EN
ああ,ああ,"Ah!, Oh!",N5,Interjection,ああ、疲れた！,"Ah, I’m tired!"
会う,あう,"to meet, to see",N5,Godan verb with 'u' ending,今日、会うよ。,I'll see him today.
青,あお,blue,N5,Noun,空は青い。,The sky is blue.
青い,あおい,blue,N5,I-adjective (keiyoushi),空は青い。,The sky is blue.
赤,あか,red,N5,Noun,顔赤いよ。,Your face is red.
赤い,あかい,red,N5,I-adjective (keiyoushi),顔赤いよ。,Your face is red.
明るい,あかるい,bright (in reference to personality or weather); cheerful,N5,I-adjective (keiyoushi),月は明るい。,The moon is bright.
秋,あき,fall (season),N5,Noun,秋ですね。,Autumn is here.
開く,あく,"to open, to become open",N5,Godan verb with 'ku' ending,本を開けないで。,Don't open your book.
開ける,あける,to open (v.t.),N5,Ichidan verb,窓を開けないで。,Don't open the window.
上げる,あげる,"to raise, to lift",N5,Ichidan verb,頭を上げないで。,Don't raise your head.
朝,あさ,morning,N5,Noun,朝ご飯よ！,Breakfast!
朝御飯,あさごはん,breakfast,N5,Noun,朝御飯にパンを食べます。,I eat bread for breakfast.
明後日,あさって,day after tomorrow,N5,Noun,また明後日。,See you in two days.
足; 脚,あし,foot; leg,N5,Noun,足が速いです。,My legs are fast.
明日,あした,tomorrow,N5,Noun,明日暇？,Are you free tomorrow?
あそこ,あそこ,"there, over there, that place",N5,Pronoun,あそこを見て。,Look over there.
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,N5,Godan verb with 'bu' ending,ここで遊ばないで。,Don't play here.
暖かい,あたたかい,warm,N5,I-adjective (keiyoushi),そこ暖かい？,Is it warm there?
頭,あたま,head,N5,Noun,頭痛い。,I have a headache.
新しい,あたらしい,new,N5,I-adjective (keiyoushi),それ、新しい車？,Is that a new car?
あちら,あちら,this way (polite),N5,Pronoun,あちらの方は奥さんですか？,Is that your wife?
暑い,あつい,"hot (in reference to weather), warm",N5,I-adjective (keiyoushi),暑い？,Is it hot?
熱い,あつい,hot (objects),N5,I-adjective (keiyoushi),熱い？,Is it hot?
厚い,あつい,"kind, warm(hearted), thick, deep",N5,I-adjective (keiyoushi),厚い本だな。,That book is thick.
あっち,あっち,over there,N5,Pronoun,あっちへ行け！,Go away.
後,あと,afterwards (later); in the future; the rest; since then,N5,Noun,後はお願いね！,The rest is up to you!
あなた,あなた,you,N5,Pronoun,あなたの本？,Is the book yours?
兄,あに,(my) older brother (humble),N5,Noun,兄がいます。,I have an older brother.
姉,あね,(my) older sister (humble),N5,Noun,姉はいない。,I don't have an older sister.
アパート,アパート,apartment (abbr.),N5,Noun,いいアパートね。,This is a great apartment.
あの,あの,"that over there; like that, that way; um...",N5,Pre-noun adjectival (rentaishi),あの…,Err...
浴びる,あびる,"to bathe, to shower",N5,Ichidan verb,シャワー浴びるの？,Are you going to shower?
危ない,あぶない,"dangerous, critical",N5,I-adjective (keiyoushi),危ない！,Look out!
甘い,あまい,"generous, sweet",N5,I-adjective (keiyoushi),りんごは甘い。,Apples are sweet.
余り,あまり,not very; surplus,N5,Noun,余り楽しくなかったな。,I didn't enjoy it very much.
雨,あめ,rain,N5,Noun,雨は好き？,Do you like rain?
飴,あめ,(hard) candy,N5,Noun,飴がほしい。,I want a piece of candy.
洗う,あらう,to wash,N5,Godan verb with 'u' ending,洗ってください。,Please wash it.
在る,ある,"to be, to have",N5,Godan verb with 'ru' ending (irregular verb),神はいるよ。,God exists.
有る,ある,"to be, to have",N5,Godan verb with 'ru' ending (irregular verb),彼は学生に人気が有る。,He's popular with the students.
歩く,あるく,to walk,N5,Godan verb with 'ku' ending,歩くの疲れたよ。,I am tired from walking.
あれ,あれ,that one (over there),N5,Pronoun,あれ何？,What's that?
いい; よい,いい; よい,good,N5,I-adjective (keiyoushi),いいよ。,All right.
いいえ,いいえ,"no, not at all",N5,Interjection,いいえ、大丈夫です。,"No, I’m fine."
言う,いう,to say,N5,Godan verb with 'u' ending,そんなこと言わないで。,Don't say that.
家,いえ,"house, home",N5,Noun,家はどこ？,Where is your house?
いかが,いかが,"how, in what way",N5,Adverb (fukushi),一口いかが？,How about a bite to eat?
行く,いく; ゆく,to go,N5,Godan verb - Iku/Yuku special class,行くの？,Are you going?
いくつ,いくつ,"how many, how old",N5,Adverb (fukushi),つまらないなあ。,I'm bored.
いくら,いくら,"how much, how many",N5,Noun,500gいくら？,How much for half a kilo?
池,いけ,pond,N5,Noun,池に入らないでください。,Please don't enter the pond.
医者,いしゃ,doctor; physician,N5,Noun,彼は医者だ。,He is a doctor.
椅子,いす,chair,N5,Noun,なあに、その椅子？,What's this chair doing here?
忙しい,いそがしい,"busy (people, days)",N5,I-adjective (keiyoushi),まだ忙しい？,Are you still busy?
痛い,いたい,hurt; painful; sore,N5,I-adjective (keiyoushi),痛！,Ouch!
一,いち,one,N5,Numeric,一杯どう？,How about a drink?
一日,いちにち,one day (duration),N5,Noun,良い一日を。,Have a nice day.
一番,いちばん,"best (most), first, number one",N5,Noun,私が一番。,I'm first.
いつ,いつ,when,N5,Pronoun,いつ？,When?
五日,いつか,five days; fifth day of the month,N5,Noun,五日待ってくれ。,Give me five days.
一緒,いっしょ,together,N5,Noun,一緒に来るの？,Are you coming with me?
五つ,いつつ,five things,N5,Numeric,この箱にはりんごが五つ入っている。,This box contains five apples.
いつも,いつも,"always, usually, every time, never (with neg. verb)",N5,Adverb (fukushi),いつも忙しいの？,Are you always busy?
犬,いぬ,dog,N5,Noun,犬に注意！,Beware of the dog!
今,いま,now,N5,Noun,今日は。,Hello!
意味,いみ,"meaning, significance",N5,Noun,どういう意味？,What do you mean?
妹,いもうと,younger sister (humble),N5,Noun,妹さんは元気？,How's your sister?
嫌,いや,"disagreeable, detestable, unpleasant",N5,Na-adjective (keiyodoshi),嫌だ！,No!
入口,いりぐち,entrance,N5,Noun,入口の前に立った。,He stood in front of the entrance.
居る,いる,"(humble) to be (animate), to exist",N5,Ichidan verb,彼ら、中にいるの？,Are they inside?
要る,いる,to need,N5,Godan verb with 'ru' ending,要る？,Want it?
入れる,いれる,to put in,N5,Ichidan verb,氷は入れる？,Would you like ice?
色,いろ,color,N5,Noun,何色なの？,What colour is it?
色々,いろいろ,various,N5,Na-adjective (keiyodoshi),色々ありがとう。,Thanks for everything.
上,うえ,"above (up, top, etc.), over, on top of",N5,Noun,よくできたね！,Well done!
後ろ,うしろ,"back, behind, rear",N5,Noun,後ろを見ろ。,Look back!
薄い,うすい,"thin, weak",N5,I-adjective (keiyoushi),あの人はあまり目立たない。,He doesn't stand out much.
歌,うた,a song,N5,Noun,歌える。,I can sing.
歌う,うたう,to sing,N5,Godan verb with 'u' ending,歌える。,I can sing.
うち,うち,home; house; my place,N5,Noun,今、お家？,Are you at home now?
生まれる,うまれる,to be born,N5,Ichidan verb,それって、私が生まれる前？後？,Was that before or after I was born?
海,うみ,"sea, beach",N5,Noun,海は広い。,The sea is vast.
売る,うる,to sell (v.t.),N5,Godan verb with 'ru' ending,彼は果物を売る。,He sells fruit.
うるさい,うるさい,noisy; annoying,N5,I-adjective (keiyoushi),うるさい！,"Hey you, shut up!"
上着,うわぎ,"coat, jacket",N5,Noun,彼は上着を掛けた。,He hung up his coat.
絵,え,a painting; a picture; a drawing,N5,Noun,私の絵だよ。,This is my painting.
映画,えいが,"movie, film",N5,Noun,映画に行くの？,You're going to a movie?
映画館,えいがかん,"movie theater, cinema",N5,Noun,映画館にいたんだ。,I was at a movie theater.
英語,えいご,English (language),N5,Noun,英語はもう嫌だ！,I'm fed up with English.
ええ,ええ,yes,N5,Interjection,ええ、分かりました。,"Yes, I understand."
駅,えき,station,N5,Noun,東京駅にいるよ。,I'm at Tokyo Station now.
エレベーター,エレベーター,elevator,N5,Noun,エレベーター使おう！,Let's take the elevator!
～円,～えん,Yen,N5,Noun,５０円です。,It's 50 yen.
鉛筆,えんぴつ,pencil,N5,Noun,これは鉛筆。,This is a pencil.
お～,お～,honorable ~ (honorific),N5,Noun,おい！,Hey.
美味しい,おいしい,"delicious, tasty",N5,I-adjective (keiyoushi),美味しい！,Yummy!
多い,おおい,many; there are a lot,N5,I-adjective (keiyoushi),質問が多い。,I have a lot of questions.
大きい,おおきい,"big, large",N5,I-adjective (keiyoushi),彼は声が大きい。,He has a loud voice.
大きな,おおきな,big,N5,Pre-noun adjectival (rentaishi),大きな犬ね。,It's a big dog.
大勢,おおぜい,great number of people,N5,Noun,大勢の人が見てた？,Were there many people watching?
お母さん,おかあさん,mother (formal),N5,Noun,お母さんはどこ？,Where is mother?
お菓子,おかし,"confections, sweets, snack",N5,Noun,お菓子買ってよ。,Buy me a snack.
お金,おかね,money,N5,Noun,お金ある？,Do you have any money?
起きる,おきる,"to get up (e.g., from sleeping); to happen",N5,Ichidan verb,いつ起きるの？,When are you going to get up?
置く,おく,to put; to lay; to place,N5,Godan verb with 'ku' ending,通路に物を置かないで。,Don't put your things in the passage.
奥さん,おくさん,(someone else's) wife (hon.),N5,Noun,奥さんはお元気？,How is the wife?
お酒,おさけ,sake; alcohol,N5,Noun,お酒飲んでるの？,Are you drinking?
お皿,おさら,"plate, dish",N5,Noun,お皿洗って。,Wash the dishes.
伯父; 叔父さん,おじさん,"uncle, middle-aged man",N5,Noun,おじさんは家にいます。,My uncle is at home.
おじいさん,おじいさん,"grandfather, male senior citizen",N5,Noun,おじいさんの世話をする。,I take care of my grandfather.
教える,おしえる,"to teach, to inform, to instruct",N5,Ichidan verb,彼に教えないで。,Don't tell him.
押す,おす,"to push, to press, to stamp (e.g., a passport)",N5,Godan verb with 'su' ending,押す！,Push!
遅い,おそい,slow; (to be) late,N5,I-adjective (keiyoushi),トムは遅い。,Tom's late.
お茶,おちゃ,(green) tea,N5,Noun,お茶です。,It's tea.
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",N5,Noun,お手洗いはどこですか？,Where is the bathroom?
お父さん,おとうさん,father (formal),N5,Noun,お父さんはどこ？,Where is your father?
弟,おとうと,younger brother,N5,Noun,弟のです。,It's my brother's.
男,おとこ,"man, male",N5,Noun,ひどい男。,What a jerk.
男の子,おとこのこ,boy,N5,"Expressions (phrases, clauses, etc.)",あの男の子は誰？,Who is that boy?
一昨日,おととい,the day before yesterday,N5,Noun,一昨日風が吹いた。,Two days ago the wind blew.
おととし,おととし,year before last,N5,Noun,私は一昨年この山に登りました。,I climbed this mountain the year before last.
大人,おとな,adult,N5,Noun,大人になってよ！,Grow up!
お腹,おなか,stomach,N5,Noun,お腹一杯！,I'm stuffed!
同じ,おなじ,"same, identical",N5,Noun or verb acting prenominally,同じ意見です。,I agree.
お兄さん,おにいさん,(someone else's) older brother (formal),N5,Noun,お兄さんは何歳ですか？,How old is your brother?
お姉さん,おねえさん,older sister (formal),N5,Noun,お姉さんのことよ。,It's about your sister.
伯母さん; 叔母さん,おばさん,aunt,N5,Noun,おばさんが料理を作っています。,My aunt is cooking.
おばあさん,おばあさん,"grandmother, female senior-citizen",N5,Noun,おばあさんはバスから降りた。,The old lady got down from the bus.
お風呂,おふろ,a bath,N5,Noun,お風呂にする？,Do you want a bath?
お弁当,おべんとう,a boxed lunch,N5,Noun,あれはトムのお弁当箱？,Is that Tom's lunch box?
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize",N5,Ichidan verb,覚えるの、簡単よ。,It's easy to learn.
おまわりさん,おまわりさん,policeman (friendly term),N5,Noun,すみません、おまわりさん。ここはどこですか。,"Excuse me, officer, where are we now?"
重い,おもい,heavy; serious,N5,I-adjective (keiyoushi),頭が重い。,I feel heavy in the head.
面白い,おもしろい,"interesting, amusing",N5,I-adjective (keiyoushi),面白い。,Interesting.
泳ぐ,およぐ,to swim,N5,Godan verb with 'gu' ending,彼は泳ぐのが怖い。,He is afraid of swimming.
降りる,おりる,to get off,N5,Ichidan verb,終点で降りる。,We'll get off at the last station.
終る,おわる,"to finish, to close",N5,Godan verb with 'ru' ending,授業が終わった。,Class has ended.
音楽,おんがく,Music,N5,Noun,音楽は好き？,Are you fond of music?
女,おんな,"woman, female",N5,Noun,女性が先だよ。,Ladies go first.
女の子,おんなのこ,girl,N5,"Expressions (phrases, clauses, etc.)",この女の子は誰？,Who is this girl?
～回,～かい,counter for occurrences (~ times),N5,Counter,回れ右！,About face!
～階,～かい,counter for stories (floors) of a building,N5,Noun,何階なの？,What floor?
外国,がいこく,foreign country; abroad,N5,Noun,外国人だ。,I am a foreigner.
外国人,がいこくじん,foreigner,N5,Noun,外国人だ。,I am a foreigner.
会社,かいしゃ,"company, corporation",N5,Noun,会社員です。,I'm an office worker.
階段,かいだん,stairs,N5,Noun,階段がある。,There are stairs.
買い物,かいもの,shopping,N5,Noun,買い物大好き！,I love shopping!
買う,かう,to buy,N5,Godan verb with 'u' ending,それ買うよ。,I'll buy it.
返す,かえす,to return something,N5,Godan verb with 'su' ending,同じことが起きるんだ。,The same thing happens again.
帰る,かえる,"to go back, to go home, to return",N5,Godan verb with 'ru' ending,今から帰る？,Are you going back now?
顔,かお,face (body part),N5,Noun,笑顔！笑顔！,Try to smile.
かかる,かかる,"it takes (amount of time, money) (v.i.)",N5,Godan verb with 'ru' ending,壁により掛かるな。,Don't lean against the wall.
鍵,かぎ,a lock; a key,N5,Noun,鍵ある？,Do you have the keys?
書く,かく,to write,N5,Godan verb with 'ku' ending,書くものをくれ。,Give me something to write on.
学生,がくせい,student,N5,Noun,学生なの？,Are you a student?
～か月,～かげつ,(number of) months,N5,Counter,今は四ヶ月目です。,I'm four months along.
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",N5,Ichidan verb,明日は出掛けるの？,Are you going out tomorrow?
かける,かける,"to dial/call (e.g., phone); to sit down",N5,Ichidan verb,３×５＝１５。,3 multiplied by 5 is 15.
傘,かさ,"umbrella, parasol",N5,Noun,傘さす？,Do you want an umbrella?
貸す,かす,to lend,N5,Godan verb with 'su' ending,金を貸す。,I lend money.
風,かぜ,"wind, breeze",N5,Noun,風は強い？,Is it windy?
風邪,かぜ,"cold, flu",N5,Noun,風邪かな？,Do I have a cold?
方,かた,-- honorific form for 人 (ひと) --; way of doing,N5,Noun,嘘はよくないよ。,Lies aren't good.
家族,かぞく,"family, members of a family",N5,Noun,大家族なの？,Do you have a big family?
片仮名,かたかな,katakana,N5,Noun,平仮名は書けるんだけど、片仮名はまだ書けないんだ。,"I can write hiragana, but I can't yet write katakana."
～月,～がつ,month of year,N5,Noun,月見て！,Look at the moon.
学校,がっこう,a school,N5,Noun,学校はどう？,How's school?
カップ,カップ,cup,N5,Noun,カップが割れた。,The cup broke.
家庭,かてい,home; family,N5,Noun,あの旅館は家庭的だ。,The hotel has a homey atmosphere.
角,かど,"corner (e.g., desk, pavement)",N5,Noun,ほんの一部だけだよ。,That's just a small part of it.
かばん,かばん,"bag, basket",N5,Noun,かばんを返せ。,Give me back my bag.
花瓶,かびん,(flower) vase,N5,Noun,花瓶割ったの誰？,Who broke the vase?
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)",N5,Godan verb with 'ru' ending,彼らは帽子をかぶると外へ出た。,They put their hats on and went outside.
紙,かみ,paper,N5,Noun,紙がほしい。,I need some paper.
カメラ,カメラ,camera,N5,Noun,あ、カメラ忘れた！,"Darn it, I forgot my camera!"
火曜日,かようび,Tuesday,N5,Noun,今日は火曜日です。,Today is Tuesday.
辛い,からい,hot and spicy; salty,N5,I-adjective (keiyoushi),辛い？,Is it hot?
体,からだ,body; health,N5,Noun,体重何キロ？,What do you weigh?
借りる,かりる,"to borrow, to owe",N5,Ichidan verb,金を借りるのも貸すのも嫌だ。,I don't want to lend or borrow.
～がる,～がる,feel,N5,Auxiliary verb,彼は寒がっています。,He’s feeling cold.
軽い,かるい,"light, non-serious, minor",N5,I-adjective (keiyoushi),軽い風邪です。,It's only a slight cold.
カレー,カレー,curry (abbr. for curry and rice),N5,Noun,今日もカレーよ。,Today it will also be Japanese curry.
カレンダー,カレンダー,calendar,N5,Noun,カレンダーはどこ？,Where is the calendar?
川; 河,かわ,river,N5,Noun,誰でも失敗はある。,Anyone can make mistakes.
～側,～がわ,~ side,N5,Noun,左側通行です。,Keep to the left.
可愛い,かわいい,"cute, adorable",N5,I-adjective (keiyoushi),可愛いよ。,You're cute.
漢字,かんじ,kanji; Chinese character,N5,Noun,漢字を書きます。,I write kanji.
木,き,"tree, wood, timber",N5,Noun,木が浮く。,Wood floats.
黄色,きいろ,yellow,N5,Noun,花は黄色い。,Flowers are yellow.
黄色い,きいろい,yellow,N5,I-adjective (keiyoushi),花は黄色い。,Flowers are yellow.
消える,きえる,"to vanish, to disappear",N5,Ichidan verb,雪はすぐに消えるだろう。,The snow will soon disappear.
聞く,きく,"to hear, to listen, to ask",N5,Godan verb with 'ku' ending,なぜ聞くの？,Why do you ask?
北,きた,north,N5,Noun,北って、どっち？,Which direction is north?
ギター,ギター,guitar,N5,Noun,ギターを習いたいの？,Do you want to learn to play guitar?
汚い,きたない,"dirty, unclean, filthy",N5,I-adjective (keiyoushi),汚いかな？,Is it dirty?
喫茶店,きっさてん,café,N5,Noun,喫茶店に行きたい？,Do you want to go to a coffee shop?
切手,きって,postal (postage) stamps,N5,Noun,切手はどこで買える？,Where can I get stamps?
切符,きっぷ,a ticket,N5,Noun,切符代、ある？,Do you have money for a ticket?
昨日,きのう,yesterday,N5,Noun,昨日、泳いだ？,Did you swim yesterday?
九,きゅう,nine,N5,Numeric,猫は丈夫だね。,Cats are tough.
牛肉,ぎゅうにく,beef,N5,Noun,牛肉は高い。,Beef is expensive.
牛乳,ぎゅうにゅう,milk,N5,Noun,牛乳が悪くなった。,The milk has gone bad.
今日,きょう,"today, this day",N5,Noun,今日は。,Hello!
教室,きょうしつ,classroom,N5,Noun,教室でね。,See you in class.
兄弟,きょうだい,"siblings (humble), brothers and sisters",N5,Noun,何人兄弟なの？,How many brothers and sisters do you have?
去年,きょねん,last year,N5,Noun,去年の新人です。,I was a freshman last year.
嫌い,きらい,dislike,N5,Na-adjective (keiyodoshi),嫌だ！,No!
切る,きる,to cut; to hang up (a phone),N5,Godan verb with 'ru' ending,そろそろ切るね。,Shall we hang up now?
着る,きる,to put on (clothes above your waist); to wear,N5,Ichidan verb,本当に助かるよ。,You're really helping me out.
綺麗,きれい,"pretty, clean, tidy",N5,Na-adjective (keiyodoshi),綺麗じゃない？,"Beautiful, don't you think?"
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),N5,Prefix,文書を書くのも大切だよ。,Writing documentation is important too.
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),N5,Prefix,"1,000mは1kmです。",A thousand meters is one kilometer.
銀行,ぎんこう,bank,N5,Noun,彼は銀行員です。,He is a bank clerk.
金曜日,きんようび,Friday,N5,Noun,花の金曜日だ！,Thank God it's Friday!
九,く,nine,N5,Numeric,猫は丈夫だね。,Cats are tough.
薬,くすり,medicine,N5,Noun,お薬飲んだ？,Have you taken your medicine yet?
下さい,ください,(with te-form verb) please do for me,N5,"Expressions (phrases, clauses, etc.)",来て下さい。,Please come.
果物,くだもの,fruit,N5,Noun,好きな果物は？,What's your favorite fruit?
口,くち,job opening; mouth,N5,Noun,口は堅い？,Are you good at keeping secrets?
靴,くつ,"shoes, footwear",N5,Noun,靴を履いて。,Put on your shoes.
靴下,くつした,socks,N5,Noun,君の靴下臭いよ。,Your socks stink.
国,くに,country; place of origin,N5,Noun,外国人だ。,I am a foreigner.
曇り,くもり,"cloudiness, cloudy weather",N5,Noun,曇りの日です。,It's a cloudy day.
曇る,くもる,"to become cloudy, to become dim",N5,Godan verb with 'ru' ending,マスクをつけると眼鏡が曇る。,"When I wear a mask, my glasses get steamed up."
暗い,くらい,"dark, gloomy",N5,I-adjective (keiyoushi),外は暗い。,It is dark outside.
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),N5,I-adjective (keiyoushi),毎月何回ぐらい映画に行くんですか？,How often do you go to the movies every month?
クラス,クラス,a class,N5,Noun,クラスに友達いる？,Do you have friends in your class?
グラム,グラム,gram,N5,Noun,500グラムでおいくら？,How much for half a kilo?
来る,くる,to come,N5,Kuru verb - special class,来る？,Are you coming?
車,くるま,"car, vehicle",N5,Noun,自転車は？,And your bike?
黒,くろ,black,N5,Noun,最後まで勝負は分からない。,You never know who'll win until the end.
黒い,くろい,black; dark,N5,I-adjective (keiyoushi),彼は性格が悪い。,He’s nasty.
警官,けいかん,police officer,N5,Noun,警官なの？,Are you cops?
今朝,けさ,this morning,N5,Noun,今朝の虹みた？,Did you see the rainbow this morning?
消す,けす,"to erase, to delete, to turn off power",N5,Godan verb with 'su' ending,私は水で火を消す。,I am extinguishing the fire with water.
結構,けっこう,"splendid; enough, tolerably",N5,Na-adjective (keiyodoshi),結構です。,It's fine.
結婚,けっこん (する),marriage (get married),N5,Noun,結婚するの？,Are you getting married?
月曜日,げつようび,Monday,N5,Noun,月曜日です。,It's Monday.
