JLPT,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Example Sentence JP,Example Words
N5,教える,おしえる,Ichidan verb,The teacher is teaching me Japanese.,"{""vocabulary"": [{""word"": ""先生"", ""reading"": ""せんせい"", ""meaning"": ""teacher"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I / me"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Indirect Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""日本語"", ""reading"": ""にほんご"", ""meaning"": ""Japanese (language)"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""教えています"", ""reading"": ""おしえています"", ""meaning"": ""is teaching"", ""role"": ""Verb, present continuous"", ""components"": [{""part"": ""教える"", ""reading"": ""おしえる"", ""meaning"": ""to teach"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes an ongoing action where a teacher is currently engaged in teaching the Japanese language to the speaker. It highlights the relationship between the teacher and the student."", ""steps"": [""**先生** - Refers to the subject of the sentence, the teacher."", ""**は** - Marks “先生” as the topic of the sentence."", ""**私** - Indicates the person receiving the action (the student)."", ""**に** - Marks the indirect object, showing to whom the teaching is directed."", ""**日本語** - Specifies what is being taught (the Japanese language)."", ""**を** - Marks “日本語” as the direct object of the verb."", ""**教えています** - The present continuous form of “教える,” indicating that the action of teaching is currently taking place.""], ""sentence_pattern"": ""- [Subject] + [は] + [Indirect Object] + [に] + [Direct Object] + [を] + [Verb (present continuous)]\n- **Kanji**: 彼は私に英語を教えています。\n- **Hiragana**: かれはわたしにえいごをおしえています。\n- **English Translation**: He is teaching me English."", ""sentence_pattern_kanji"": ""彼は私に英語を教えています。"", ""sentence_pattern_hiragana"": ""かれはわたしにえいごをおしえています。"", ""sentence_pattern_english"": ""He is teaching me English."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while に indicates the recipient of the action. This helps clarify who is doing what in the sentence."", ""common_mistake"": ""Beginners often confuse を and に. Remember that を is used to mark the direct object of the verb (what is being taught), while に indicates the indirect object (to whom it is being taught)."", ""alternative_expression"": {""kanji"": ""先生が私に日本語を教えています。"", ""hiragana"": ""せんせいがわたしににほんごをおしえています。"", ""english"": ""The teacher is teaching me Japanese.""}, ""new_words_in_alternative"": [{""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""description"": ""Particle""}]}}",Vocab,17,"to teach, to inform, to instruct",先生は私に日本語を教えています。,
N5,下さい,ください,Expression,Please give me water.,"{""vocabulary"": [{""word"": ""水"", ""reading"": ""みず"", ""meaning"": ""water"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ください"", ""reading"": ""ください"", ""meaning"": ""please give (me)"", ""role"": ""Verb, polite request"", ""components"": [{""part"": ""くれる"", ""reading"": ""くれる"", ""meaning"": ""to give (to me)"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite request for water. It is commonly used in various situations, such as at a restaurant or when someone is thirsty."", ""steps"": [""**水** - The object of the request, meaning “water.”"", ""**を** - Marks “水” as the object of the verb, indicating what is being requested."", ""**ください** - A polite way to ask for something, derived from the verb “くれる,” which means “to give.”""], ""sentence_pattern"": ""- [Object] + [を] + [Verb (request form)]\n- **Kanji**: お茶をください。\n- **Hiragana**: おちゃをください。\n- **English Translation**: Please give me tea."", ""sentence_pattern_kanji"": ""お茶をください。"", ""sentence_pattern_hiragana"": ""おちゃをください。"", ""sentence_pattern_english"": ""Please give me tea."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that を is used to mark the object of the verb. In this case, it indicates that \""water\"" is what you want to receive."", ""common_mistake"": ""Beginners might confuse the use of を with が. Remember that を is specifically for the object of the action, while が is used for the subject."", ""alternative_expression"": {""kanji"": ""水を頂けますか？"", ""hiragana"": ""みずをいただけますか？"", ""english"": ""Could I have some water?""}, ""new_words_in_alternative"": [{""word"": ""頂けますか"", ""reading"": ""いただけますか"", ""meaning"": ""Could I have?"", ""description"": ""Verb, polite request form""}]}}",Vocab,17,(with te-form verb) please do (something) for me,水をください。,
N5,頼む,たのむ,Godan verb with 'mu' ending,I ask my friend for help.,"{""vocabulary"": [{""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friend"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Target Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""手伝って"", ""reading"": ""てつだって"", ""meaning"": ""help"", ""role"": ""Verb, te-form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""頼む"", ""reading"": ""たのむ"", ""meaning"": ""to ask"", ""role"": ""Verb, dictionary form"", ""components"": [{""part"": ""頼む"", ""reading"": ""たのむ"", ""meaning"": ""to ask"", ""contribution"": ""Verb""}, {""part"": ""手伝う"", ""reading"": ""てつだう"", ""meaning"": ""to help"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a situation where the speaker is requesting assistance from a friend. It highlights the action of asking for help in a straightforward manner."", ""steps"": [""**友達** - Refers to the subject of the request, the friend."", ""**に** - Indicates the target of the action, meaning “to” or “for.”"", ""**手伝って** - The te-form of “手伝う,” which is used here to express the action of helping in a request."", ""**頼む** - The main verb meaning “to ask,” indicating the action being performed.""], ""sentence_pattern"": ""- [Subject] + [に] + [Verb (te-form)] + [Verb (dictionary form)]\n- **Kanji**: 先生に教えて頼む。\n- **Hiragana**: せんせいにおしえてたのむ。\n- **English Translation**: I ask the teacher for help."", ""sentence_pattern_kanji"": ""先生に教えて頼む。"", ""sentence_pattern_hiragana"": ""せんせいにおしえてたのむ。"", ""sentence_pattern_english"": ""I ask the teacher for help."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the te-form (手伝って) is often used to connect actions or to make requests. It’s a useful form to know when asking for help or doing multiple actions."", ""common_mistake"": ""Beginners might confuse the use of に and へ. In this context, に is used to indicate the target of the request (the friend), while へ indicates direction or destination."", ""alternative_expression"": {""kanji"": ""友達に助けを頼む。"", ""hiragana"": ""ともだちにたすけをたのむ。"", ""english"": ""I ask my friend for assistance.""}, ""new_words_in_alternative"": []}}",Vocab,17,"to request, to ask for a favor",友達に手伝って頼む。,
N5,どうぞ,どうぞ,Expression,Please take this.,"{""vocabulary"": [{""word"": ""これ"", ""reading"": ""これ"", ""meaning"": ""this"", ""role"": ""Demonstrative pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""どうぞ"", ""reading"": ""どうぞ"", ""meaning"": ""please"", ""role"": ""Adverb/Polite expression"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite request or offer, inviting someone to take or accept something that is being presented. It is commonly used in everyday interactions when handing something to someone."", ""steps"": [""**これ** - Refers to the item being offered, meaning “this.”"", ""**を** - Marks “これ” as the direct object of the action."", ""**どうぞ** - A polite expression used to make a request or offer, meaning “please.”""], ""sentence_pattern"": ""- [Object] + [を] + [Verb/Polite expression]\n- **Kanji**: これを受け取ってください。\n- **Hiragana**: これをうけとってください。\n- **English Translation**: Please accept this."", ""sentence_pattern_kanji"": ""これを受け取ってください。"", ""sentence_pattern_hiragana"": ""これをうけとってください。"", ""sentence_pattern_english"": ""Please accept this."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that これ refers to something close to the speaker, making it easy to use in everyday situations when offering items."", ""common_mistake"": ""Beginners may confuse the use of を with は. Remember that を is specifically used to mark the object of a verb, while は marks the topic of the sentence."", ""alternative_expression"": {""kanji"": ""これをどうぞお受け取りください。"", ""hiragana"": ""これをどうぞおうけとりください。"", ""english"": ""Please kindly accept this.""}, ""new_words_in_alternative"": [{""word"": ""お受け取り"", ""reading"": ""おうけとり"", ""meaning"": ""accept"", ""description"": ""Noun/Verb""}]}}",Vocab,17,"please, go ahead",これをどうぞ。,
N5,ちゃいけない・じゃいけない,ちゃいけない / じゃいけない,Expression,You must not run here.,"{""vocabulary"": [{""word"": ""ここ"", ""reading"": ""ここ"", ""meaning"": ""here"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""at / in"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""走って"", ""reading"": ""はしって"", ""meaning"": ""running"", ""role"": ""Verb, gerund form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""はいけない"", ""reading"": ""はいけない"", ""meaning"": ""must not"", ""role"": ""Verb phrase, negative potential form"", ""components"": [{""part"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""contribution"": ""Particle""}, {""part"": ""いけない"", ""reading"": ""いけない"", ""meaning"": ""must not go"", ""contribution"": ""Verb, negative potential form""}, {""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence conveys a rule or prohibition, stating that running is not allowed in a particular place. It is often used in signs or instructions to ensure safety."", ""steps"": [""**ここ** - Indicates the location where the action is being discussed (here)."", ""**で** - Marks the location where the action takes place."", ""**走って** - The gerund form of the verb “走る” (to run), indicating the action of running."", ""**はいけない** - This phrase indicates prohibition, meaning “must not go” or “is not allowed.”""], ""sentence_pattern"": ""- [Location] + [で] + [Verb (gerund)] + [はいけない]\n- **Kanji**: 公園で走ってはいけない。\n- **Hiragana**: こうえんではしってはいけない。\n- **English Translation**: You must not run in the park."", ""sentence_pattern_kanji"": ""公園で走ってはいけない。"", ""sentence_pattern_hiragana"": ""こうえんではしってはいけない。"", ""sentence_pattern_english"": ""You must not run in the park."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that “はいけない” is a way to express prohibition. It’s a useful phrase to know when discussing rules or restrictions."", ""common_mistake"": ""Beginners might confuse the use of で with other location markers like に or へ. Remember that で indicates the location where an action occurs, while に indicates a destination and へ indicates direction."", ""alternative_expression"": {""kanji"": ""ここで走ることは禁止です。"", ""hiragana"": ""ここではしることはきんしです。"", ""english"": ""Running here is prohibited.""}, ""new_words_in_alternative"": [{""word"": ""禁止"", ""reading"": ""きんし"", ""meaning"": ""prohibition"", ""description"": ""Noun""}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""description"": ""Copula""}]}}",Grammar,17,must not do (in spoken Japanese),ここで走ってはいけない。,
N5,ほうがいい,ほうがいい,Expression,You should go to bed early.,"{""vocabulary"": [{""word"": ""早く"", ""reading"": ""はやく"", ""meaning"": ""early"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""寝た"", ""reading"": ""ねた"", ""meaning"": ""went to bed"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""寝る"", ""reading"": ""ねる"", ""meaning"": ""to sleep"", ""contribution"": ""Verb""}, {""part"": ""ほう"", ""reading"": ""ほう"", ""meaning"": ""direction / way"", ""contribution"": ""Noun""}, {""part"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""contribution"": ""Particle""}, {""part"": ""いい"", ""reading"": ""いい"", ""meaning"": ""good"", ""contribution"": ""Adjective""}, {""part"": ""よ"", ""reading"": ""よ"", ""meaning"": ""[Sentence-ending particle for emphasis]"", ""contribution"": ""Particle""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence suggests that going to bed early is a good idea. It implies that the speaker is giving advice or a recommendation to someone."", ""steps"": [""**早く** - Modifies the verb to indicate the action should be done early."", ""**寝た** - The past tense of “寝る,” indicating the action of going to bed."", ""**ほう** - Indicates a direction or way, often used in expressions of recommendation."", ""**が** - Marks “ほう” as the subject of the sentence."", ""**いい** - Describes the subject, indicating that it is a good idea."", ""**よ** - Adds emphasis to the statement, making it more conversational.""], ""sentence_pattern"": ""- [Adverb] + [Verb (past tense)] + [ほう] + [が] + [いい] + [よ]\n- **Kanji**: 早く寝たほうがいい。\n- **Hiragana**: はやくねたほうがいい。\n- **English Translation**: It’s better to go to bed early."", ""sentence_pattern_kanji"": ""早く寝たほうがいい。"", ""sentence_pattern_hiragana"": ""はやくねたほうがいい。"", ""sentence_pattern_english"": ""It’s better to go to bed early."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that ほう is used to indicate a recommendation or preference. When combined with いい, it suggests that the action is a good choice."", ""common_mistake"": ""Beginners might confuse the use of た (past tense) with the present tense. In this context, it is used to suggest a recommendation based on the action of having gone to bed."", ""alternative_expression"": {""kanji"": ""早く寝たほうが良いよ。"", ""hiragana"": ""はやくねたほうがいいよ。"", ""english"": ""You should go to bed early.""}, ""new_words_in_alternative"": [{""word"": ""良い"", ""reading"": ""よい"", ""meaning"": ""good"", ""description"": ""Adjective""}]}}",Grammar,17,should; had better; it would be better to,早く寝たほうがいいよ。,
N5,ましょうか,ましょうか,Expression,Shall I help you?,"{""vocabulary"": [{""word"": ""手伝い"", ""reading"": ""てつだい"", ""meaning"": ""help"", ""role"": ""Noun"", ""components"": [{""part"": ""手"", ""reading"": ""て"", ""meaning"": ""hand"", ""contribution"": ""Noun""}], ""combined_explanation"": """"}, {""word"": ""か"", ""reading"": ""か"", ""meaning"": ""[Question Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite offer of assistance, asking if the speaker can help the listener with something. It conveys a willingness to assist."", ""steps"": [""**手伝い** - Refers to the act of helping."", ""**ましょう** - Indicates a suggestion or invitation to help."", ""**か** - Turns the statement into a question, asking for confirmation or agreement.""], ""sentence_pattern"": ""- [Noun (help)] + [Verb (volitional form)] + [Question Marker]\n- **Kanji**: 何か手伝いましょうか？\n- **Hiragana**: なにかてつだいましょうか？\n- **English Translation**: Shall I help with something?"", ""sentence_pattern_kanji"": ""何か手伝いましょうか？"", ""sentence_pattern_hiragana"": ""なにかてつだいましょうか？"", ""sentence_pattern_english"": ""Shall I help with something?"", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that ましょう is a polite way to suggest doing something together. It’s often used in offers of help or invitations."", ""common_mistake"": ""Beginners might forget to use か at the end of a question. Always remember to add it to indicate that you are asking something."", ""alternative_expression"": {""kanji"": ""手伝ってもいいですか？"", ""hiragana"": ""てつだってもいいですか？"", ""english"": ""Is it okay if I help you?""}, ""new_words_in_alternative"": [{""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""description"": ""Copula""}]}}",Grammar,17,Shall I ~; used to offer help to the listener.,手伝いましょうか？,
N5,ないでください,ないでください,Expression,Please don't run here.,"{""vocabulary"": [{""word"": ""ここ"", ""reading"": ""ここ"", ""meaning"": ""here"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""走らない"", ""reading"": ""はしらない"", ""meaning"": ""not run"", ""role"": ""Verb, negative form"", ""components"": [{""part"": ""走る"", ""reading"": ""はしる"", ""meaning"": ""to run"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}, {""word"": ""でください"", ""reading"": ""でください"", ""meaning"": ""please do (not)"", ""role"": ""Polite request form"", ""components"": [{""part"": ""ください"", ""reading"": ""ください"", ""meaning"": ""please"", ""contribution"": ""Polite request expression""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite request asking someone not to run in a specific location, emphasizing safety or appropriateness in that area."", ""steps"": [""**ここ** - Indicates the location where the action is being addressed."", ""**で** - Marks the location as the context for the action."", ""**走らない** - The negative form of “走る,” indicating that running is not allowed."", ""**でください** - A polite way to request that the action (not running) be followed.""], ""sentence_pattern"": ""- [Location] + [で] + [Verb (negative)] + [でください]\n- **Kanji**: 学校で走らないでください。\n- **Hiragana**: がっこうではしらないでください。\n- **English Translation**: Please don't run at school."", ""sentence_pattern_kanji"": ""学校で走らないでください。"", ""sentence_pattern_hiragana"": ""がっこうではしらないでください。"", ""sentence_pattern_english"": ""Please don't run at school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that で indicates the location where the action takes place, and ください is a polite way to make requests. This structure is common for giving instructions or requests in Japanese."", ""common_mistake"": ""Beginners often forget to use the negative form correctly. Ensure you use the negative form of the verb (走らない) when you want to express that something should not be done."", ""alternative_expression"": {""kanji"": ""ここで走らないようにしてください。"", ""hiragana"": ""ここではしらないようにしてください。"", ""english"": ""Please make sure not to run here.""}, ""new_words_in_alternative"": []}}",Grammar,17,please don't do,ここで走らないでください。,
N5,なくちゃ,なくちゃ,Expression,I have to do my homework.,"{""vocabulary"": [{""word"": ""宿題"", ""reading"": ""しゅくだい"", ""meaning"": ""homework"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""なくちゃ"", ""reading"": ""なくちゃ"", ""meaning"": ""have to"", ""role"": ""Colloquial contraction of なくては"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's obligation to complete their homework. It conveys a sense of necessity regarding the task at hand."", ""steps"": [""**宿題** - Refers to the homework that needs to be done."", ""**を** - Marks “宿題” as the object of the action."", ""**なくちゃ** - A colloquial contraction of “なくては,” which indicates obligation or necessity."", ""**いけません** - Indicates that it is not permissible to avoid the action, reinforcing the obligation.""], ""sentence_pattern"": ""- [Object] + [を] + [Verb (obligation)]\n- **Kanji**: 宿題をしなくてはいけません。\n- **Hiragana**: しゅくだいをしなくてはいけません。\n- **English Translation**: I have to do my homework."", ""sentence_pattern_kanji"": ""宿題をしなくてはいけません。"", ""sentence_pattern_hiragana"": ""しゅくだいをしなくてはいけません。"", ""sentence_pattern_english"": ""I have to do my homework."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that なくちゃ is a casual way to express obligation, and it can be helpful to think of it as “I have to” or “I must” when you see it in a sentence."", ""common_mistake"": ""Beginners often confuse the use of いけません with other forms of expressing obligation. It's important to remember that いけません emphasizes that not doing the action is not allowed."", ""alternative_expression"": {""kanji"": ""宿題をしなければなりません。"", ""hiragana"": ""しゅくだいをしなければなりません。"", ""english"": ""I must do my homework.""}, ""new_words_in_alternative"": [{""word"": ""しなければなりません"", ""reading"": ""しなければなりません"", ""meaning"": ""must do"", ""description"": ""Verb, obligation""}]}}",Grammar,17,must do; need to; have to,宿題をなくちゃいけません。,
N5,なくてはいけない,なくてはいけない,Expression,I must do my homework.,"{""vocabulary"": [{""word"": ""宿題"", ""reading"": ""しゅくだい"", ""meaning"": ""homework"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""なくては"", ""reading"": ""なくては"", ""meaning"": ""must do"", ""role"": ""Verb, conditional form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's obligation to complete their homework. It emphasizes that doing homework is necessary and cannot be avoided."", ""steps"": [""**宿題** - Refers to the homework that needs to be done."", ""**を** - Marks “宿題” as the object of the action."", ""**なくては** - The conditional form of the verb “なく” (to do), indicating that it must be done."", ""**いけない** - Indicates that it is not permissible to avoid doing the homework, reinforcing the obligation.""], ""sentence_pattern"": ""- [Object] + [を] + [Verb (conditional)] + [は] + [Verb (negative potential)]\n- **Kanji**: 彼は宿題をしなくてはいけない。\n- **Hiragana**: かれはしゅくだいをしなくてはいけない。\n- **English Translation**: He must do his homework."", ""sentence_pattern_kanji"": ""彼は宿題をしなくてはいけない。"", ""sentence_pattern_hiragana"": ""かれはしゅくだいをしなくてはいけない。"", ""sentence_pattern_english"": ""He must do his homework."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the structure “なくては” indicates an obligation. It’s a way to express that something must be done, so think of it as “must do” in English."", ""common_mistake"": ""Beginners often confuse the use of いけない with other forms of negation. Remember that いけない specifically conveys that something is not permissible, emphasizing the necessity of the action."", ""alternative_expression"": {""kanji"": ""宿題をしなければならない。"", ""hiragana"": ""しゅくだいをしなければならない。"", ""english"": ""I have to do my homework.""}, ""new_words_in_alternative"": [{""word"": ""しなければならない"", ""reading"": ""しなければならない"", ""meaning"": ""must do"", ""description"": ""Verb phrase""}]}}",Grammar,17,must do; need to do,宿題をなくてはいけない。,
N5,てください,てください,Expression,Please do your homework.,"{""vocabulary"": [{""word"": ""宿題"", ""reading"": ""しゅくだい"", ""meaning"": ""homework"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""して"", ""reading"": ""して"", ""meaning"": ""do"", ""role"": ""Verb, te-form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ください"", ""reading"": ""ください"", ""meaning"": ""please"", ""role"": ""Polite request expression"", ""components"": [{""part"": ""する"", ""reading"": ""する"", ""meaning"": ""to do"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite request asking someone to complete their homework. It is commonly used in educational settings or when giving instructions."", ""steps"": [""**宿題** - Refers to the homework that needs to be done."", ""**を** - Marks “宿題” as the object of the verb “する.”"", ""**して** - The te-form of “する,” which is used here to connect to the request."", ""**ください** - A polite way to ask someone to do something, translating to “please.”""], ""sentence_pattern"": ""- [Object] + [を] + [Verb (te-form)] + [ください]\n- **Kanji**: 本を読んでください。\n- **Hiragana**: ほんをよんでください。\n- **English Translation**: Please read the book."", ""sentence_pattern_kanji"": ""本を読んでください。"", ""sentence_pattern_hiragana"": ""ほんをよんでください。"", ""sentence_pattern_english"": ""Please read the book."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the te-form (like して) is crucial for making polite requests. It connects the action to the request smoothly."", ""common_mistake"": ""Beginners often forget to use the object marker を when stating what action to perform. Always include を to clarify what is being acted upon."", ""alternative_expression"": {""kanji"": ""宿題をやってください。"", ""hiragana"": ""しゅくだいをやってください。"", ""english"": ""Please do your homework.""}, ""new_words_in_alternative"": [{""word"": ""やる"", ""reading"": ""やる"", ""meaning"": ""to do"", ""description"": ""Verb""}]}}",Grammar,17,please do (something),宿題をしてください。,
N5,てはいけない,てはいけない,Expression,You must not play here.,"{""vocabulary"": [{""word"": ""ここ"", ""reading"": ""ここ"", ""meaning"": ""here"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""遊んで"", ""reading"": ""あそんで"", ""meaning"": ""playing"", ""role"": ""Verb, te-form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""いけない"", ""reading"": ""いけない"", ""meaning"": ""must not"", ""role"": ""Verb, negative potential form"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence conveys a prohibition against playing in a specific location. It is a common expression used to inform someone that an action is not permitted."", ""steps"": [""**ここ** - Indicates the location where the action is being discussed (here)."", ""**で** - Marks the location as the place where the action occurs."", ""**遊んで** - The te-form of the verb “遊ぶ” (to play), used to connect to the following phrase."", ""**は** - Marks the topic of the sentence, which is the action of playing."", ""**いけない** - Indicates that the action is prohibited or must not be done.""], ""sentence_pattern"": ""- [Location] + [で] + [Verb (te-form)] + [は] + [Verb (negative potential)]\n- **Kanji**: 学校で遊んではいけない。\n- **Hiragana**: がっこうであそんではいけない。\n- **English Translation**: You must not play at school."", ""sentence_pattern_kanji"": ""学校で遊んではいけない。"", ""sentence_pattern_hiragana"": ""がっこうであそんではいけない。"", ""sentence_pattern_english"": ""You must not play at school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the te-form (遊んで) is used to connect actions or clauses, and in this case, it leads into the prohibition (いけない). It’s a useful form to learn for making complex sentences."", ""common_mistake"": ""Beginners often confuse the use of で and に. Remember that で indicates the location where an action takes place, while に indicates a destination or goal."", ""alternative_expression"": {""kanji"": ""ここで遊んではダメだ。"", ""hiragana"": ""ここであそんではだめだ。"", ""english"": ""You can't play here.""}, ""new_words_in_alternative"": [{""word"": ""ダメ"", ""reading"": ""だめ"", ""meaning"": ""not allowed"", ""description"": ""Adjective""}]}}",Grammar,17,must not; may not; cannot,ここで遊んではいけない。,
